canonical_name,total_mentions,model_count,google_name,match_score,google_rating,google_reviews,price_level,business_status,address
Meta Restaurant,6,3,Meta Restaurant,100.0,4.6,502,,OPERATIONAL,"9 Mohamed Sultan Rd, Meta Restaurant, Singapore 238959"
Murugan Idli Shop,6,3,Murugan Idli Shop,100.0,4.0,3064,2,OPERATIONAL,"76 Syed Alwi Rd, Singapore 207660"
Nobu Singapore,6,4,NOBU Singapore,100.0,4.1,436,4,OPERATIONAL,"190 Orchard Blvd, Level 3, Singapore 248646"
Old Bibik's Peranakan Kitchen,6,3,Old Bibik's Peranakan Kitchen,100.0,4.1,519,2,OPERATIONAL,"328 Joo Chiat Rd, #01-02, Singapore 427585"
Osteria Mozza,6,4,Osteria Mozza,100.0,4.6,1582,,OPERATIONAL,"333 Orchard Rd, Level 5, Singapore 238867"
Palm Beach Seafood,6,3,Palm Beach Seafood,100.0,4.2,1847,3,OPERATIONAL,"1 Fullerton Rd, #01-09 One Fullerton, Singapore 049213"
Pura Brasa,6,3,Pura Brasa Singapore,100.0,4.4,2099,2,OPERATIONAL,"5 Wallich St, #01-16, Singapore 078883"
Restaurant JAG,6,3,Restaurant JAG,100.0,4.8,495,4,OPERATIONAL,"41 Robertson Quay, #02-02 STPI, Singapore 238236"
Sinar Pagi Nasi Padang,6,4,Sinar Pagi Nasi Padang,100.0,3.7,240,,OPERATIONAL,"1 Geylang Serai, #02-137, Singapore 402001"
Sushi Masa by Ki-setsu,6,3,Sushi Masa by Ki-setsu,100.0,4.9,145,,OPERATIONAL,"5 Koek Rd, #06-03, Singapore 228796"
Symmetry,6,3,Symmetry,100.0,4.3,2144,2,OPERATIONAL,"9 Jln Kubor, #01-01, Singapore 199206"
Thanying Restaurant,6,3,Thanying Restaurant,100.0,4.0,223,,OPERATIONAL,"165 Tanjong Pagar Road #02-00 Amara Hotel, Singapore 088539"
The Halia at Singapore Botanic Gardens,6,2,The Halia at Singapore Botanic Gardens,100.0,4.3,2555,3,OPERATIONAL,"1 Cluny Rd, Ginger Garden Singapore Botanic Gardens, Singapore 259569"
The Sushi Bar,6,3,The Sushi Bar,100.0,4.3,670,2,OPERATIONAL,"14 Scotts Rd, #04-28, Far East Plaza, Singapore 228213"
Vineyard at HortPark,6,2,Vineyard at HortPark,100.0,4.5,2027,2,OPERATIONAL,"33 Hyderabad Rd, #02-02 Hortpark, Singapore 119578"
Wah Lok Cantonese Restaurant,6,3,Wah Lok Cantonese Restaurant,100.0,4.3,1154,3,OPERATIONAL,"76 Bras Basah Rd, Singapore 189558"
Wakuda,6,3,Wakuda,100.0,4.2,395,,OPERATIONAL,"10 Bayfront Avenue, Marina Bay Sands, Hotel Tower 2, Lobby, Singapore 018956"
Ye Lai Xiang Teochew Porridge,6,2,Ye Lai Xiang Teochew Porridge,100.0,4.1,1217,1,OPERATIONAL,"116 Bukit Merah Vw, #01-217, Singapore 151116"
Bornga,6,3,Bornga Singapore @ VivoCity,100.0,3.9,904,2,OPERATIONAL,"1 HarbourFront Walk, #02-123 /124, Singapore 098585"
Monti,6,3,Monti At 1-Pavilion Italian Restaurant,100.0,4.4,2416,3,OPERATIONAL,"82 Collyer Quay, Singapore 049327"
Rang Mahal,6,3,Rang Mahal Restaurant & Bar | Best Indian Restaurant in Singapore,100.0,4.2,880,4,OPERATIONAL,"41 Seah St, Level 1 Naumi Hotel, Singapore 188396"
89.7 Supper Club,5,3,89.7 Supper Club,100.0,4.1,2415,2,OPERATIONAL,"5 Changi Village Rd, Singapore 500005"
A-Roy Thai Restaurant,5,2,A-Roy Thai Restaurant,100.0,4.1,767,2,OPERATIONAL,"Singapore, Thomson Rd, 238号Novena Square#03-61/64 邮政编码: 307683"
AMOR,5,3,Amor Singapore,100.0,4.8,31,,OPERATIONAL,"107 Amoy St, Singapore 069927"
Atlas,5,3,ATLAS,100.0,4.5,4580,3,OPERATIONAL,"Ground floor, 600 N Bridge Rd, Singapore 188778"
Absurdities,5,2,Absurdities Singapore,100.0,4.8,791,,OPERATIONAL,"311 Jln Besar, Singapore 208970"
Alaturka Turkish & Mediterranean Restaurant,5,3,Alaturka Mediterranean & Turkish Restaurant,100.0,4.6,3131,2,OPERATIONAL,"15 Bussorah St, Singapore 199436"
Beirut Grill,5,4,Beirut Grill,100.0,4.4,1662,2,OPERATIONAL,"72 Bussorah St, Singapore 199485"
Belimbing,5,3,Belimbing,100.0,4.6,97,,OPERATIONAL,"269A Beach Rd, Level 2, Singapore 199546"
Bistecca Tuscan Steakhouse,5,3,Bistecca Tuscan Steakhouse,100.0,4.6,2108,3,OPERATIONAL,"26 Mohamed Sultan Rd, Singapore 238970"
Butcher's Block,5,3,Butcher's Block,100.0,4.4,243,,OPERATIONAL,"328 N Bridge Rd, #02-02 RAFFLES ARCADE, Singapore 188719"
Flock Cafe,5,4,FLOCK CAFE,100.0,4.1,995,2,OPERATIONAL,"01-25 Tiong Bahru Estate, 78 Moh Guan Terrace, #01-25 Block 78, Singapore 162078"
Founder Bak Kut Teh,5,1,Founder Bak Kut Teh,100.0,4.1,1112,2,OPERATIONAL,"347 Balestier Rd, Singapore 329777"
Great Nanyang Heritage Cafe,5,3,Great Nanyang Heritage Cafe 大南洋,93.1,4.4,1478,2,OPERATIONAL,"5 Craig Rd, Singapore 089665"
